Operateur;x;y;2G;3G;4G
20801;102980;6847973;1;1;0
20810;103113;6848661;1;1;0
20820;103114;6848664;1;1;1
20801;112032;6840427;0;1;1
20801;115635;6799938;1;1;0
20820;124571;6834344;1;1;1
20820;124695;6799102;1;0;0
20801;124754;6834397;1;1;0
20820;126832;6850891;1;1;0
20801;126839;6850905;1;1;0
20810;127043;6835882;1;1;1
20801;127568;6845233;1;1;1
20801;128710;6798555;1;1;1
20820;128752;6833527;1;1;1
20815;128760;6833539;0;1;1
20801;128766;6833546;1;1;1
20810;128770;6833549;1;1;0
20820;128841;6844669;1;1;1
20815;128862;6844668;0;1;1
20815;129220;6848789;0;1;1
20810;129264;6848863;1;1;0
20820;129846;6839759;1;1;0
20801;129865;6839792;1;1;1
20820;129878;6798001;1;1;0
20810;129879;6797996;1;1;0
20815;129898;6798012;0;1;1
20810;130114;6854345;1;1;0
20810;130418;6842903;1;1;0
20820;133248;6855889;1;1;0
20810;134821;6834024;1;1;1
20815;134823;6834038;0;1;1
20820;135262;6852772;1;1;1
20810;135263;6852800;1;1;0
20815;135264;6852783;0;1;0
20801;135264;6852806;1;1;1
20801;135485;6833857;1;1;1
20801;136567;6836278;0;1;1
20810;136592;6841494;0;1;0
20801;136595;6841496;0;1;1
20810;136658;6836986;1;1;1
20801;136672;6836980;1;1;0
20820;136709;6836971;1;1;1
20810;136918;6844810;1;1;0
20820;136926;6833491;1;1;1
20810;137269;6797110;1;1;0
20801;137508;6843513;1;1;1
20820;137794;6843213;1;1;1
20801;137903;6835712;1;1;1
20815;137945;6843006;0;1;1
20810;138045;6836907;1;1;1
20815;138048;6836906;0;1;1
20820;138073;6823980;1;1;1
20801;138074;6823972;1;1;0
20810;138177;6823771;1;1;0
20815;138179;6823798;0;1;0
20810;138848;6856582;1;1;0
20820;138848;6856585;1;1;0
20815;139223;6852006;0;1;0
20820;139226;6852004;1;1;1
20801;139381;6812351;1;1;0
20810;139902;6835505;1;1;1
20801;139907;6835500;1;1;0
20801;140028;6795550;1;1;1
20810;140032;6795537;0;1;0
20820;140033;6795536;1;1;0
20815;140035;6795539;0;1;1
20801;140057;6833570;1;1;1
20810;140081;6842315;1;1;0
20810;140594;6833532;1;1;1
20820;140606;6833537;1;1;1
20820;140746;6841216;1;1;1
20801;140754;6841227;1;1;1
20820;141217;6845048;1;1;1
20801;141469;6794973;1;1;1
20815;141897;6840844;0;1;1
20801;141899;6840848;1;1;1
20801;142146;6834833;1;1;0
20801;142162;6845551;1;1;0
20801;142505;6839777;1;1;0
20810;142515;6839739;1;1;0
20801;142613;6818411;0;1;1
20801;142726;6858673;1;1;0
20820;142727;6858669;1;0;0
20801;142764;6835819;0;1;1
20810;143070;6795023;1;1;0
20801;143096;6835223;1;1;0
20810;143101;6835220;1;1;1
20801;143246;6796660;1;1;0
20820;143252;6836009;1;1;1
20820;143253;6796649;1;1;0
20815;143261;6796657;0;1;1
20810;143346;6834453;1;1;1
20820;143534;6835381;1;1;1
20810;143693;6838607;1;1;1
20801;143706;6835896;1;1;1
20820;143721;6836353;0;1;0
20820;143744;6836137;1;1;1
20815;143846;6836139;0;1;1
20810;143853;6836141;1;1;1
20801;144094;6837276;1;1;1
20810;144485;6820483;1;1;0
20815;144487;6820496;0;1;1
20801;144607;6820243;1;1;1
20810;144607;6846681;1;0;0
20820;144650;6835630;1;1;1
20810;144663;6835636;1;1;1
20815;144668;6835629;0;1;1
20820;144702;6838541;1;1;1
20815;144775;6838411;0;1;1
20801;144789;6838423;1;1;1
20801;144796;6835589;1;1;1
20810;144880;6856807;1;1;1
20801;145035;6836166;0;1;1
20810;145056;6841887;1;1;1
20801;145060;6841895;1;1;0
20820;145061;6841894;1;1;1
20815;145062;6841894;0;1;1
20820;145154;6836575;1;1;1
20810;145204;6835519;1;1;1
20801;145216;6837970;1;1;1
20810;145218;6837969;1;1;1
20801;145233;6836599;1;1;1
20810;145235;6836483;1;1;1
20815;145247;6836492;0;1;1
20801;145347;6835997;1;0;0
20820;145445;6860991;1;1;0
20801;145453;6855967;0;1;0
20801;145456;6823087;0;0;0
20820;145497;6835869;1;1;1
20820;145536;6820163;1;1;1
20801;145615;6835818;1;1;1
20801;145696;6838740;1;1;0
20820;145754;6837668;1;1;1
20815;145754;6837679;0;1;1
20810;145934;6847505;1;1;0
20820;145949;6847510;1;1;0
20810;146006;6838487;1;1;1
20815;146011;6838496;0;1;1
20801;146059;6857350;1;1;1
20815;146069;6836684;0;1;1
20801;146090;6835696;1;1;0
20810;146105;6836686;1;1;1
20820;146264;6791515;1;1;0
20815;146265;6791515;0;1;1
20801;146280;6837789;1;1;1
20810;146282;6791513;1;1;0
20810;146286;6837774;1;1;1
20810;146296;6836331;1;1;1
20801;146427;6836272;1;1;1
20820;146429;6836950;1;1;1
20801;146440;6836946;1;1;1
20820;146455;6836068;0;0;1
20820;146548;6836378;1;1;1
20810;146549;6837030;1;1;1
20810;146581;6839159;1;1;1
20810;146631;6835858;1;1;0
20801;146703;6791134;1;1;0
20820;146720;6836358;1;0;0
20801;146756;6852775;1;1;0
20815;146758;6840049;0;1;0
20801;146759;6840053;1;1;1
20801;146763;6848446;1;1;0
20810;146820;6836403;1;1;1
20801;146822;6836040;1;1;1
20820;146860;6836010;1;1;1
20801;146884;6836539;1;1;1
20815;146887;6837043;0;1;1
20810;146905;6837061;1;1;1
20820;146921;6836607;1;0;0
20801;146980;6837209;1;1;1
20815;147007;6856437;0;1;1
20820;147023;6856406;1;1;0
20801;147052;6836897;0;1;1
20810;147054;6836884;1;1;1
20820;147075;6839197;1;1;1
20820;147079;6836558;1;0;1
20820;147084;6836503;1;1;1
20801;147126;6836537;0;0;0
20820;147161;6837407;1;1;1
20801;147306;6839053;1;1;1
20801;147478;6836749;1;1;1
20801;147489;6838248;1;1;1
20810;147649;6835625;1;1;1
20810;147651;6836172;1;1;1
20801;147660;6836184;1;1;1
20820;147665;6835631;1;1;1
20810;147697;6838762;1;1;1
20810;147698;6837006;1;1;1
20810;147718;6836599;1;1;1
20820;147745;6840480;1;0;0
20801;147805;6823979;1;1;0
20815;147877;6838761;0;1;1
20810;147933;6835307;1;0;0
20815;147945;6843572;0;1;1
20820;147950;6843572;1;1;1
20801;147979;6799006;1;1;0
20801;147982;6843617;1;1;1
20810;148087;6837613;1;1;1
20815;148088;6837614;0;1;1
20801;148091;6837628;1;1;1
20801;148146;6842502;1;1;1
20801;148205;6860258;1;1;1
20810;148211;6860254;1;1;0
20820;148323;6837516;1;1;1
20810;148324;6837517;0;1;0
20820;148425;6836747;1;1;1
20815;148440;6836762;0;1;1
20810;148524;6836656;1;1;1
20801;148528;6836661;1;1;1
20820;148551;6838825;1;1;1
20810;148555;6837987;1;1;1
20801;148587;6838831;0;1;0
20815;148652;6837910;0;1;1
20810;148750;6840360;1;1;1
20801;148917;6839329;1;1;1
20810;148978;6839557;1;1;1
20801;148997;6837778;1;1;1
20820;149088;6840371;1;1;1
20801;149095;6840372;1;1;0
20815;149153;6840450;0;1;1
20820;149477;6837139;1;1;1
20801;149480;6836231;1;1;1
20810;149482;6836210;1;1;1
20815;149515;6836165;0;1;1
20801;149558;6837196;1;1;1
20810;149689;6837098;1;1;1
20815;149692;6837097;0;1;1
20801;149815;6770693;1;1;1
20810;149844;6843394;1;1;1
20801;149852;6843399;1;1;0
20801;150238;6840176;0;1;0
20801;150343;6772730;1;1;1
20820;150395;6831904;1;1;1
20820;150462;6791556;1;1;1
20810;150488;6837542;1;1;1
20801;150522;6837524;1;1;0
20820;150583;6771074;1;1;1
20810;150588;6771075;1;1;1
20815;150617;6832088;0;1;1
20810;150621;6832070;1;1;1
20801;151046;6771419;0;1;1
20820;151156;6851526;1;1;1
20801;151156;6851539;1;1;0
20801;151287;6847896;0;1;0
20801;151455;6836769;1;1;0
20801;151485;6839371;0;1;0
20820;151910;6837619;1;1;1
20801;152076;6838156;1;1;0
20801;152199;6841129;1;1;1
20820;152319;6841083;1;1;1
20810;152319;6841107;1;1;1
20815;152321;6841091;0;1;0
20820;152487;6848410;1;1;1
20810;152493;6848409;1;1;1
20801;152495;6848411;1;1;1
20801;152552;6836505;1;1;1
20801;152740;6787700;1;1;0
20810;153217;6801245;1;1;1
20820;153218;6801243;1;1;1
20815;153234;6801237;0;1;1
20801;153334;6840530;1;1;1
20801;153732;6791863;1;1;0
20820;153829;6771523;1;1;1
20810;153834;6771525;1;1;1
20820;154089;6837741;1;1;1
20810;154111;6837723;1;1;1
20801;154115;6837737;1;1;0
20801;154258;6801973;1;1;1
20810;154301;6839018;1;1;1
20815;154303;6839035;0;1;1
20820;154306;6839028;1;1;1
20801;154519;6800979;1;1;1
20801;154680;6833853;1;1;1
20820;155170;6802286;0;1;0
20810;155239;6817271;1;1;0
20820;155240;6817286;1;1;1
20815;155240;6817286;0;1;1
20801;155245;6817274;1;1;1
20820;155247;6802051;1;1;1
20810;155349;6802775;1;1;0
20801;155350;6802771;1;1;1
20815;155358;6787625;0;1;0
20810;155367;6787605;1;1;1
20801;155400;6801480;0;1;0
20810;155458;6834857;1;1;1
20801;155462;6834871;1;0;0
20820;155464;6834857;1;1;0
20820;155483;6769022;1;1;1
20810;155486;6769021;1;1;1
20801;155486;6769024;0;1;0
20810;155861;6833195;1;1;1
20820;155868;6833207;1;1;1
20815;155875;6833198;0;1;1
20820;155961;6782583;1;1;1
20815;155962;6782584;0;1;1
20810;155966;6782583;1;1;1
20820;156017;6773969;1;1;1
20810;156017;6773969;1;1;1
20820;156065;6851087;1;1;0
20801;156084;6770191;1;1;1
20810;156152;6775436;1;1;0
20801;156173;6773231;1;1;0
20820;156515;6770098;1;1;0
20815;156543;6770102;0;1;1
20801;156651;6842872;1;1;1
20801;157297;6801243;1;1;1
20810;157300;6801237;1;1;0
20820;157325;6801230;1;1;1
20810;157491;6851512;1;1;0
20820;157616;6780309;1;1;1
20815;157616;6780309;0;1;1
20810;157616;6780309;1;1;1
20801;157704;6782009;1;1;0
20810;157850;6790389;1;1;0
20801;157913;6864558;1;1;0
20820;157921;6864519;1;1;1
20810;157951;6864521;1;1;1
20820;158914;6843963;1;1;1
20810;159014;6841175;1;1;0
20820;159024;6839619;1;1;0
20801;159191;6775970;0;1;1
20820;159611;6855434;1;1;1
20801;159617;6855425;1;1;1
20815;159626;6835179;0;1;1
20810;159692;6834987;1;1;0
20801;159711;6834157;1;1;1
20810;159782;6855222;1;0;0
20810;159848;6769657;1;1;0
20801;159852;6769671;1;1;0
20801;160226;6790903;1;1;0
20810;160242;6796170;1;1;1
20815;160352;6856028;0;1;1
20801;160353;6856032;1;1;0
20801;160624;6828148;1;1;0
20820;160628;6828145;1;1;0
20815;160629;6828146;0;1;1
20810;160690;6777672;1;1;1
20801;160693;6777674;1;1;1
20820;160705;6777708;1;1;1
20801;160726;6776122;1;1;1
20801;160743;6854160;1;1;0
20820;160785;6795341;1;1;0
20820;161570;6850923;1;1;0
20810;161610;6850903;1;1;0
20815;161623;6850861;0;1;1
20801;161632;6850861;1;1;0
20820;161706;6793610;1;1;0
20815;161716;6793632;0;1;1
20820;161933;6832674;1;1;1
20820;162273;6772659;1;1;1
20810;162281;6772653;1;1;1
20801;162487;6770074;0;1;0
20810;162648;6794667;1;1;0
20810;162772;6841750;1;1;0
20801;162994;6838745;1;1;1
20810;163117;6858470;1;1;0
20815;163190;6858456;0;1;0
20801;163468;6840776;1;1;0
20820;163595;6842726;1;1;0
20801;163702;6805577;1;1;1
20801;163703;6843054;1;1;0
20820;163709;6805590;1;1;1
20815;163710;6805590;0;1;1
20820;163742;6796442;1;1;0
20810;163814;6842341;1;1;1
20815;163836;6842325;0;1;1
20815;163982;6831586;0;1;1
20810;164011;6831715;1;1;0
20801;164037;6831762;1;1;1
20815;164103;6771701;0;1;1
20810;164126;6789264;1;1;1
20801;164128;6789298;1;1;0
20820;164134;6789263;1;1;1
20815;164135;6789264;0;1;1
20820;164137;6771745;1;1;1
20801;164139;6771740;1;1;1
20810;164264;6844971;1;1;1
20801;164267;6844984;1;0;0
20820;164267;6844986;1;1;1
20815;164267;6844986;0;1;0
20820;164414;6784959;1;1;1
20810;164419;6784964;1;1;1
20810;165070;6777851;1;1;1
20801;165095;6777818;1;1;1
20815;165096;6777813;0;1;1
20820;165101;6777825;1;1;1
20820;165139;6827759;1;0;0
20810;165159;6827730;1;1;1
20820;165364;6801015;1;1;1
20815;165364;6801016;0;1;1
20810;165513;6839045;1;0;0
20820;165631;6840486;1;1;0
20815;165637;6840486;0;1;0
20801;165639;6840489;1;1;1
20801;165862;6786376;1;1;0
20801;165992;6798322;1;1;0
20801;166030;6826292;1;1;0
20801;167095;6784447;1;1;0
20820;167109;6825075;1;1;0
20815;167167;6825069;0;1;1
20815;167471;6776976;0;1;1
20801;167472;6776980;1;1;1
20820;167519;6787028;1;1;1
20815;167519;6787028;0;1;1
20810;167553;6787027;1;1;1
20801;168415;6787585;1;1;0
20815;168631;6859865;0;1;0
20801;168632;6859869;1;1;1
20820;168674;6790255;1;1;1
20810;168679;6790256;1;1;1
20815;168684;6790247;0;1;0
20801;168686;6790251;1;1;1
20820;168713;6815146;1;1;0
20820;168878;6788866;1;1;1
20810;168878;6788866;1;1;1
20801;169026;6793681;1;1;0
20801;169141;6789018;1;1;1
20810;169265;6776941;1;1;1
20820;169268;6776941;1;1;1
20801;169270;6776946;1;1;1
20801;169522;6811311;0;1;0
20820;169647;6803844;1;1;1
20810;169647;6803844;1;1;1
20815;169648;6803845;0;1;1
20801;169921;6789443;1;1;1
20820;169990;6821085;1;1;1
20810;169990;6821085;1;1;1
20801;170007;6821092;1;1;0
20810;170095;6789845;1;0;0
20815;170166;6821193;0;1;1
20820;170270;6859678;1;1;1
20810;170273;6859684;1;1;1
20801;170284;6846513;1;0;0
20801;170428;6790037;1;1;1
20820;170434;6790017;1;1;1
20801;170507;6791344;1;1;1
20801;170733;6789441;1;1;0
20820;170783;6788421;1;1;1
20810;170796;6788400;1;1;1
20801;170798;6788403;1;1;1
20810;170851;6789618;1;1;1
20820;170852;6789624;1;1;1
20801;171198;6789936;1;1;1
20801;171259;6786799;1;0;0
20801;171262;6851215;1;1;0
20810;171272;6791435;1;0;0
20820;171274;6851221;1;1;0
20810;171274;6851221;1;1;0
20815;171275;6851222;0;1;0
20815;171298;6812658;0;1;1
20820;171311;6791312;1;1;1
20810;171316;6791314;1;1;1
20801;171337;6787513;0;0;0
20820;171390;6787545;1;1;1
20820;171404;6864240;1;1;1
20820;171405;6812711;1;1;1
20801;171412;6864242;1;1;1
20810;171439;6788897;1;1;1
20810;171443;6812658;1;1;1
20815;171445;6864236;0;1;1
20820;171456;6788885;1;1;1
20801;171646;6789010;1;1;0
20801;171684;6791138;1;1;0
20815;171694;6789013;0;1;1
20810;171761;6782006;1;1;1
20815;171772;6781994;0;1;1
20820;171796;6782037;1;1;1
20820;171957;6788991;1;1;1
20810;171959;6788969;1;1;1
20801;171978;6788935;1;0;0
20801;172162;6791923;1;1;0
20815;172387;6792340;0;1;1
20801;172604;6790013;0;1;0
20810;172623;6844930;1;0;0
20820;172654;6787476;1;1;1
20801;172656;6787481;1;1;0
20810;172658;6787483;1;1;1
20815;172661;6787481;0;1;0
20801;172704;6821215;1;1;0
20820;172709;6787789;1;0;0
20810;172752;6789969;1;1;1
20820;172752;6789975;1;1;1
20815;172752;6789975;0;1;1
20801;172913;6790956;1;1;1
20820;172985;6818736;1;1;1
20810;172994;6818732;1;1;1
20801;173050;6788309;1;1;1
20810;173052;6788222;1;1;1
20820;173060;6788213;1;1;1
20801;173095;6848546;0;0;1
20810;173241;6794607;1;1;1
20820;173241;6794609;1;1;1
20820;173396;6780325;1;1;1
20801;173408;6789627;1;1;1
20810;173411;6780319;1;1;1
20801;173418;6780330;1;1;0
20801;173477;6815780;1;1;0
20810;173572;6863604;1;1;1
20820;173583;6863576;1;1;1
20801;173679;6812660;1;1;1
20820;173795;6846192;1;1;0
20810;173795;6846192;0;1;0
20815;173796;6846193;0;1;0
20801;173797;6846196;0;1;0
20801;173881;6794655;1;1;0
20815;173906;6794633;0;1;1
20801;173985;6808111;1;1;0
20801;174101;6788281;1;1;1
20810;174404;6819592;0;1;0
20801;174846;6788347;1;1;1
20820;174875;6855144;1;1;1
20810;174875;6855144;1;1;1
20801;175029;6790732;1;1;0
20820;175043;6790725;1;1;1
20815;175044;6790725;0;1;1
20810;175048;6790725;1;1;1
20801;175168;6789869;1;1;0
20815;175215;6818660;0;1;1
20801;175322;6818383;1;1;1
20801;175412;6840209;1;1;1
20820;175594;6813345;1;1;1
20810;175594;6813345;1;1;1
20820;175721;6777789;1;1;1
20815;175724;6777736;0;1;1
20810;175759;6777765;1;1;1
20820;175866;6857013;1;1;1
20810;175866;6857013;1;1;1
20815;175896;6857044;0;1;1
20810;176063;6788070;1;1;1
20820;176097;6788098;1;1;1
20815;176281;6813698;0;1;1
20801;176282;6813702;1;1;1
20801;176287;6777968;1;1;1
20820;176344;6834515;1;1;0
20815;176371;6834512;0;1;1
20801;176386;6793207;0;1;0
20810;176528;6783389;1;1;1
20801;176535;6783382;1;1;0
20820;176539;6783398;1;1;1
20820;176659;6774723;1;1;1
20815;176659;6774723;0;1;1
20801;176661;6774728;1;1;1
20810;176673;6774689;1;1;1
20820;176694;6788187;1;0;0
20801;176728;6799981;1;1;0
20801;177015;6787721;1;1;0
20815;177170;6806954;0;1;1
20820;177349;6790966;1;1;1
20815;177349;6790987;0;1;1
20810;177352;6790969;1;1;1
20820;177454;6847542;1;0;0
20801;177461;6864611;1;1;1
20815;177547;6864630;0;1;1
20801;177552;6776963;0;1;0
20810;177560;6864646;1;1;1
20820;177562;6864642;1;1;1
20820;177676;6847597;1;1;1
20810;177676;6847597;1;1;1
20801;177738;6845946;0;1;0
20820;177748;6800836;1;1;1
20810;177748;6800836;1;1;1
20815;177786;6800855;0;1;1
20820;178036;6806900;1;1;1
20810;178036;6806900;1;1;1
20820;178149;6837179;1;1;1
20810;178149;6837179;1;1;1
20801;178230;6774231;0;1;1
20810;178445;6788001;1;1;1
20820;178513;6787909;1;1;1
20801;178524;6846354;1;1;1
20820;178533;6786620;1;1;1
20810;178543;6786615;1;1;1
20815;178553;6786600;0;1;1
20801;178714;6848273;1;1;0
20810;178730;6779796;1;1;1
20820;178735;6779796;1;1;1
20801;178836;6844693;1;1;0
20810;178866;6844706;1;1;1
20820;178874;6844708;1;1;1
20820;179013;6799476;1;1;1
20810;179013;6799476;1;1;1
20801;179244;6782707;1;1;0
20801;179410;6847101;0;1;1
20820;179474;6862862;1;1;1
20810;179474;6862862;1;1;1
20801;179546;6792417;1;1;0
20820;179688;6852167;1;1;1
20810;179693;6852159;1;1;1
20815;179869;6847289;0;1;1
20820;180320;6800646;1;0;0
20810;180678;6854030;1;1;1
20820;180679;6854037;1;1;1
20801;180691;6854043;1;1;1
20801;180983;6779869;1;1;1
20801;181230;6801938;1;1;1
20820;181437;6828138;1;1;0
20810;181437;6828138;1;1;0
20815;181438;6828139;0;1;0
20801;181439;6828143;1;1;0
20810;181468;6845625;1;1;1
20820;181495;6845657;1;1;1
20801;182228;6785305;1;1;0
20820;182298;6785220;1;1;1
20815;182299;6785221;0;1;1
20810;182300;6785213;1;1;1
20801;182859;6775132;1;1;0
20810;183167;6780531;1;1;1
20820;183175;6780537;1;1;1
20815;183175;6780537;0;1;1
20801;183330;6775018;1;1;1
20815;183607;6776139;0;1;1
20820;183615;6776146;1;1;1
20810;183615;6776152;1;1;1
20801;183617;6776141;1;1;0
20810;183685;6859859;1;1;1
20820;183687;6859845;1;1;1
20820;183910;6821859;1;1;1
20810;183910;6821859;1;1;1
20820;183986;6872438;1;0;0
20810;184098;6814536;1;1;1
20820;184102;6814551;1;1;1
20815;184103;6814552;0;1;1
20815;184264;6778400;0;1;1
20801;184265;6778404;1;1;0
20801;184267;6822214;1;1;0
20810;184311;6866914;1;1;1
20820;184319;6866910;1;1;1
20801;184376;6814718;1;1;0
20801;184501;6774245;1;1;1
20820;184626;6777575;1;1;1
20810;184630;6777570;1;1;1
20815;185037;6866376;0;1;1
20801;185041;6866379;1;1;0
20810;185130;6872453;0;1;0
20820;185177;6787001;1;1;1
20810;185181;6786951;1;1;1
20820;185496;6859785;1;1;1
20815;185499;6859798;0;1;1
20801;185623;6848123;1;1;1
20801;185746;6773612;1;1;0
20801;186040;6862604;1;1;0
20810;186314;6775373;1;1;1
20820;186317;6775385;1;1;1
20801;186319;6775390;1;1;0
20820;186537;6803924;1;1;1
20810;186537;6803924;1;1;1
20801;186538;6868606;1;1;0
20810;186540;6863698;1;1;1
20801;186554;6863683;1;1;1
20810;186555;6868581;1;1;1
